time,left_ticks,right_ticks
3.330000,9083,8977
3.340000,9078,8986
3.350000,9073,8995
3.360000,9068,9004
3.370000,9062,9012
3.380000,9056,9020
3.390000,9050,9027
3.400000,9043,9035
3.410000,9036,9042
3.420000,9029,9049
3.430000,9021,9055
3.440000,9013,9061
3.450000,9005,9067
3.460000,8996,9073
3.470000,8987,9078
3.480000,8977,9083
3.490000,8967,9088
3.500000,8957,9092
3.510000,8946,9096
3.520000,8935,9100
3.530000,8924,9103
3.540000,8912,9106
3.550000,8900,9109
3.560000,8888,9111
3.570000,8875,9113
3.580000,8862,9114
3.590000,8848,9115
3.600000,8835,9116
3.610000,8820,9116
3.620000,8806,9116
3.630000,8791,9116
3.640000,8775,9115
3.650000,8760,9114
3.660000,8744,9113
3.670000,8727,9111
3.680000,8710,9108
3.690000,8693,9106
3.700000,8676,9102
3.710000,8658,9099
3.720000,8640,9095
3.730000,8621,9091
3.740000,8602,9086
3.750000,8583,9081
3.760000,8563,9075
3.770000,8544,9069
3.780000,8523,9063
3.790000,8503,9056
3.800000,8482,9048
3.810000,8461,9041
3.820000,8439,9033
3.830000,8417,9024
3.840000,8395,9015
3.850000,8373,9006
3.860000,8350,8996
3.870000,8327,8986
3.880000,8304,8975
3.890000,8280,8964
3.900000,8257,8953
3.910000,8233,8941
3.920000,8208,8928
3.930000,8184,8916
3.940000,8159,8903
3.950000,8134,8889
3.960000,8108,8875
3.970000,8083,8861
3.980000,8057,8846
3.990000,8031,8831
4.000000,8005,8815
4.010000,7979,8799
4.020000,7952,8783
4.030000,7926,8766
4.040000,7899,8749
4.050000,7872,8732
4.060000,7845,8714
4.070000,7818,8696
4.080000,7790,8677
4.090000,7763,8658
4.100000,7735,8639
4.110000,7708,8619
4.120000,7680,8599
4.130000,7652,8579
4.140000,7625,8558
4.150000,7597,8537
4.160000,7569,8516
4.170000,7541,8494
4.180000,7513,8472
4.190000,7485,8450
4.200000,7457,8427
4.210000,7429,8404
4.220000,7401,8381
4.230000,7373,8358
4.240000,7346,8334
4.250000,7318,8310
4.260000,7290,8286
4.270000,7263,8262
4.280000,7236,8237
4.290000,7208,8212
4.300000,7181,8187
4.310000,7154,8161
4.320000,7128,8136
4.330000,7101,8110
4.340000,7075,8084
4.350000,7048,8058
4.360000,7022,8032
4.370000,6997,8005
4.380000,6971,7979
4.390000,6946,7952
4.400000,6921,7925
4.410000,6896,7898
4.420000,6872,7871
4.430000,6848,7844
4.440000,6824,7817
4.450000,6800,7790
4.460000,6777,7762
4.470000,6754,7735
4.480000,6732,7707
4.490000,6710,7680
4.500000,6688,7652
4.510000,6667,7625
4.520000,6646,7597
4.530000,6626,7570
4.540000,6606,7542
4.550000,6587,7515
4.560000,6568,7487
4.570000,6549,7460
4.580000,6531,7432
4.590000,6513,7405
4.600000,6496,7378
4.610000,6480,7351
4.620000,6464,7324
4.630000,6448,7297
4.640000,6433,7271
4.650000,6419,7244
4.660000,6405,7218
4.670000,6391,7192
4.680000,6378,7166
4.690000,6366,7140
4.700000,6354,7114
4.710000,6343,7089
4.720000,6332,7064
4.730000,6322,7039
4.740000,6313,7014
4.750000,6304,6990
4.760000,6296,6965
4.770000,6288,6941
4.780000,6281,6918
4.790000,6274,6895
4.800000,6268,6872
4.810000,6263,6849
4.820000,6258,6826
4.830000,6254,6804
4.840000,6250,6783
4.850000,6247,6761
4.860000,6245,6740
4.870000,6243,6720
4.880000,6241,6699
4.890000,6241,6680
4.900000,6240,6660
4.910000,6241,6641
4.920000,6242,6622
4.930000,6243,6604
4.940000,6245,6586
4.950000,6248,6569
4.960000,6251,6552
4.970000,6254,6535
4.980000,6258,6519
4.990000,6263,6503
5.000000,6268,6488
5.010000,6274,6473
5.020000,6280,6459
5.030000,6286,6445
5.040000,6293,6431
5.050000,6301,6418
5.060000,6308,6406
5.070000,6317,6394
5.080000,6326,6382
5.090000,6335,6371
5.100000,6344,6360
5.110000,6354,6350
5.120000,6365,6340
5.130000,6375,6331
5.140000,6386,6322
5.150000,6398,6314
5.160000,6410,6306
5.170000,6422,6299
5.180000,6434,6292
5.190000,6447,6285
5.200000,6460,6279
5.210000,6473,6274
5.220000,6487,6268
5.230000,6501,6264
5.240000,6515,6259
5.250000,6529,6256
5.260000,6544,6252
5.270000,6559,6249
5.280000,6574,6247
5.290000,6589,6245
5.300000,6604,6243
5.310000,6620,6242
5.320000,6636,6241
5.330000,6652,6241
5.340000,6668,6240
5.350000,6684,6241
5.360000,6701,6242
5.370000,6717,6243
5.380000,6734,6244
5.390000,6751,6246
5.400000,6768,6248
5.410000,6784,6251
5.420000,6801,6253
5.430000,6819,6257
5.440000,6836,6260
5.450000,6853,6264
5.460000,6870,6268
5.470000,6888,6272
5.480000,6905,6277
5.490000,6922,6282
5.500000,6940,6287
5.510000,6957,6293
5.520000,6974,6299
5.530000,6992,6305
5.540000,7009,6311
5.550000,7027,6318
5.560000,7044,6324
5.570000,7061,6331
5.580000,7079,6339
5.590000,7096,6346
5.600000,7113,6354
5.610000,7130,6361
5.620000,7147,6369
5.630000,7164,6378
5.640000,7181,6386
5.650000,7198,6394
5.660000,7215,6403
5.670000,7232,6412
5.680000,7248,6421
5.690000,7265,6430
5.700000,7281,6439
5.710000,7298,6448
5.720000,7314,6458
5.730000,7330,6467
5.740000,7346,6477
5.750000,7362,6487
5.760000,7378,6496
5.770000,7394,6506
5.780000,7409,6516
5.790000,7425,6526
5.800000,7440,6536
5.810000,7455,6546
5.820000,7470,6556
5.830000,7485,6567
5.840000,7500,6577
5.850000,7515,6587
5.860000,7530,6597
5.870000,7544,6608
5.880000,7558,6618
5.890000,7572,6628
5.900000,7586,6638
5.910000,7600,6649
5.920000,7614,6659
5.930000,7627,6669
5.940000,7641,6680
5.950000,7654,6690
5.960000,7667,6700
5.970000,7680,6710
5.980000,7693,6721
5.990000,7706,6731
6.000000,7718,6741
6.010000,7730,6751
6.020000,7743,6761
6.030000,7755,6771
6.040000,7766,6781
6.050000,7778,6791
6.060000,7790,6800
6.070000,7801,6810
6.080000,7812,6820
6.090000,7823,6830
6.100000,7834,6839
6.110000,7845,6849
6.120000,7856,6858
6.130000,7866,6867
6.140000,7877,6876
6.150000,7887,6886
6.160000,7897,6895
6.170000,7907,6904
6.180000,7916,6913
6.190000,7926,6921
6.200000,7935,6930
6.210000,7945,6939
6.220000,7954,6947
6.230000,7963,6956
6.240000,7971,6964
6.250000,7980,6972
6.260000,7989,6980
6.270000,7997,6988
6.280000,8005,6996
6.290000,8013,7004
6.300000,8021,7012
6.310000,8029,7019
6.320000,8037,7027
6.330000,8044,7034
6.340000,8051,7042
6.350000,8059,7049
6.360000,8066,7056
6.370000,8073,7063
6.380000,8079,7070
6.390000,8086,7076
6.400000,8093,7083
6.410000,8099,7090
6.420000,8105,7096
6.430000,8111,7102
6.440000,8117,7108
6.450000,8123,7114
6.460000,8129,7120
6.470000,8135,7126
6.480000,8140,7132
6.490000,8146,7138
6.500000,8151,7143
6.510000,8156,7149
6.520000,8161,7154
6.530000,8166,7159
6.540000,8171,7164
6.550000,8175,7169
6.560000,8180,7174
6.570000,8184,7179
6.580000,8189,7183
6.590000,8193,7188
6.600000,8197,7192
6.610000,8201,7196
6.620000,8205,7201
6.630000,8209,7205
6.640000,8212,7209
6.650000,8216,7213
6.660000,8219,7216
6.670000,8223,7220
6.680000,8226,7224
6.690000,8229,7227
6.700000,8232,7230
6.710000,8235,7234
6.720000,8238,7237
6.730000,8241,7240
6.740000,8244,7243
6.750000,8246,7246
6.760000,8249,7249
6.770000,8251,7251
6.780000,8253,7254
6.790000,8256,7256
6.800000,8258,7259
6.810000,8260,7261
6.820000,8262,7263
6.830000,8264,7265
6.840000,8266,7268
6.850000,8267,7270
6.860000,8269,7271
6.870000,8271,7273
6.880000,8272,7275
6.890000,8274,7277
6.900000,8275,7278
6.910000,8277,7280
6.920000,8278,7281
6.930000,8279,7283
6.940000,8280,7284
6.950000,8281,7285
6.960000,8282,7286
6.970000,8283,7287
6.980000,8284,7288
6.990000,8285,7289
7.000000,8286,7290
7.010000,8287,7291
7.020000,8287,7292
7.030000,8288,7293
7.040000,8289,7293
7.050000,8289,7294
7.060000,8290,7295
7.070000,8290,7295
7.080000,8291,7296
7.090000,8291,7296
7.100000,8291,7296
7.110000,8292,7297
7.120000,8292,7297
7.130000,8292,7297
7.140000,8292,7298
7.150000,8293,7298
7.160000,8293,7298
7.170000,8293,7298
7.180000,8293,7298
7.190000,8293,7299
7.200000,8293,7299
7.210000,8293,7299
7.220000,8293,7299
7.230000,8293,7299
7.240000,8293,7299
7.250000,8293,7299
7.260000,8293,7299
7.270000,8293,7299
7.280000,8293,7299
